Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Order_Hour,Order_DayOfWeek,Pickup_Delay,distance_km
pbjm971961647,31,4.7,23.357804,85.325146,23.487804,85.455146,22:30:00,Sandstorms,Low ,van,Metropolitian ,130,Books,0,3,1869045.0,
kjic578711491,37,5.0,11.003669,76.976494,11.013669,76.986494,08:15:00,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Clothing,0,4,1866750.0,
rkzt648036688,33,4.3,12.986047,80.218114,13.116047,80.348114,19:30:00,Windy,Jam ,scooter ,Metropolitian ,195,Snacks,0,6,1844385.0,
segh259958026,25,4.0,19.221315,72.862381,19.261315,72.902381,12:25:00,Cloudy,High ,motorcycle ,Metropolitian ,170,Jewelry,0,5,1845390.0,
owvs520891091,29,4.5,13.005801,80.250744,13.115801,80.360744,18:35:00,Sunny,Medium ,van,Metropolitian ,75,Outdoors,0,6,1844330.0,
edrh271340988,27,5.0,26.849596,75.800512,26.879596,75.830512,20:35:00,Stormy,Jam ,motorcycle ,Urban ,90,Cosmetics,0,1,1831480.0,
qvfd540651807,35,4.3,21.160522,72.771477,21.250522,72.861477,23:20:00,Cloudy,Low ,scooter ,Metropolitian ,190,Electronics,0,5,1866210.0,
gzfn634029300,32,4.0,12.934179,77.615797,13.024179,77.705797,21:20:00,Windy,Jam ,motorcycle ,Metropolitian ,235,Cosmetics,0,2,1860335.0,
xjps180812498,23,4.8,18.51421,73.838429,18.62421,73.948429,23:35:00,Windy,Low ,van,Urban ,60,Jewelry,0,5,1835985.0,
ahpg083217029,31,4.8,11.022477,76.995667,11.052477,77.025667,22:35:00,Sandstorms,Low ,motorcycle ,Metropolitian ,130,Jewelry,0,4,1837370.0,
itii428784576,36,4.1,21.160437,72.774209,21.210437,72.824209,22:35:00,Stormy,Low ,motorcycle ,Urban ,110,Cosmetics,0,5,1876240.0,
asis944862845,26,4.3,15.51315,73.78346,15.56315,73.83346,23:25:00,Sandstorms,Low ,motorcycle ,Urban ,105,Jewelry,0,4,1907975.0,
xzkg140273315,38,4.9,15.561295,73.749478,15.601295,73.789478,13:35:00,Cloudy,High ,scooter ,Urban ,125,Shoes,0,4,1907380.0,
zotl583816092,32,3.5,0.0,0.0,0.11,0.11,21:35:00,Stormy,Jam ,scooter ,Urban ,35,Grocery,0,1,1871865.0,
agoo012263585,32,4.6,18.563934,73.915367,18.693935,74.045367,22:35:00,Cloudy,Low ,scooter ,Metropolitian ,150,Sports,0,5,1835925.0,
ezif478391605,33,4.9,18.55144,73.804855,18.62144,73.874855,18:55:00,Sunny,Medium ,motorcycle ,Metropolitian ,110,Jewelry,0,1,1871710.0,
tixw400453550,20,4.7,18.593481,73.785901,18.633481,73.825901,14:15:00,Windy,High ,scooter ,Urban ,50,Toys,0,6,1833985.0,
mrfx777445506,20,4.8,21.173343,72.792731,21.183343,72.802731,11:00:00,Sandstorms,Low ,scooter ,Metropolitian ,95,Kitchen,0,2,1839550.0,
czjt755903822,35,5.0,17.451976,78.385883,17.471976,78.405883,09:45:00,Sunny,Low ,scooter ,Urban ,55,Clothing,0,4,1836595.0,
zqtj827550147,26,4.9,12.972532,77.608179,12.992532,77.628179,08:40:00,Stormy,Low ,scooter ,Metropolitian ,55,Kitchen,0,0,1842295.0,
luka250567007,22,4.8,12.972532,77.608179,13.042532,77.678179,23:00:00,Fog,Low ,motorcycle ,Metropolitian ,140,Books,0,4,1857550.0,
zkat983341391,35,4.3,13.064181,80.236442,13.134181,80.306442,17:25:00,Cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery,0,0,1862970.0,
ydhu273019158,37,4.7,21.149569,72.772697,21.239569,72.862697,19:45:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,260,Clothing,0,0,1832870.0,
rpuq263118672,28,4.6,19.091458,72.827808,19.201458,72.937808,19:10:00,Stormy,Jam ,scooter ,Metropolitian ,110,Cosmetics,0,1,1871725.0,
nvck471535045,37,4.9,22.539129,88.365507,22.559129,88.385507,10:55:00,Fog,Low ,scooter ,Urban ,16,Grocery,0,6,1904340.0,
rxgx102974679,23,4.9,19.221315,72.862381,19.281315,72.922381,21:40:00,Sunny,Jam ,van,Metropolitian ,55,Apparel,0,3,1848825.0,
ikas794013321,27,4.9,12.970324,77.645748,13.030324,77.705748,19:00:00,Windy,Medium ,scooter ,Metropolitian ,125,Snacks,0,5,1855875.0,
dsyl658069912,37,4.8,13.064181,80.236442,13.104181,80.276442,16:45:00,Cloudy,Medium ,motorcycle ,Urban ,130,Jewelry,0,2,1870135.0,
wzoc344425774,33,5.0,21.175975,72.795503,21.185975,72.805503,11:30:00,Sunny,High ,scooter ,Metropolitian ,90,Shoes,0,5,1855420.0,
dwnh519656346,31,4.9,23.369746,85.33982,23.409746,85.37982,15:10:00,Fog,Medium ,motorcycle ,Metropolitian ,80,Books,0,6,1834035.0,
yakw330215137,31,4.8,12.914264,77.6784,13.024264,77.7884,22:45:00,Stormy,Low ,scooter ,Metropolitian ,115,Cosmetics,0,4,1847455.0,
dcdm719150402,25,5.0,0.0,0.0,0.03,0.03,22:10:00,Cloudy,Low ,motorcycle ,Metropolitian ,75,Home,0,6,1905025.0,
fris321432357,28,4.8,11.003681,76.975525,11.083681,77.055525,20:45:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Kitchen,0,0,1832935.0,
mxuw713526914,31,4.7,21.173343,72.792731,21.233343,72.852731,22:50:00,Cloudy,Low ,motorcycle ,Metropolitian ,80,Clothing,0,5,1846025.0,
carl449634661,24,4.7,10.96185,76.971082,11.05185,77.061082,17:55:00,Sunny,Medium ,motorcycle ,Urban ,95,Snacks,0,3,1868760.0,
msnw786727644,39,4.6,27.165108,78.015053,27.255108,78.105053,22:45:00,Sunny,Low ,motorcycle ,Metropolitian ,135,Jewelry,0,0,1903620.0,
bbow373480117,39,4.2,0.0,0.0,0.08,0.08,20:35:00,Fog,Jam ,scooter ,Semi-Urban ,245,Apparel,0,2,1880450.0,
vizd072469706,32,4.5,26.88842,75.800689,26.89842,75.810689,09:25:00,Windy,Low ,scooter ,Other,100,Shoes,0,5,1845220.0,
etss702593505,36,4.7,0.0,0.0,0.06,0.06,20:15:00,Cloudy,Jam ,motorcycle ,Metropolitian ,150,Sports,0,6,1864580.0,
rxxx129114996,25,4.8,26.913987,75.752891,26.993987,75.832891,22:25:00,Sandstorms,Low ,scooter ,Urban ,90,Cosmetics,0,1,1841675.0,
bull762076829,33,4.9,12.3085,76.665808,12.3385,76.695808,21:55:00,Sunny,Jam ,scooter ,Metropolitian ,110,Books,0,2,1840200.0,
fpkv432118410,30,4.4,21.183434,72.814492,21.253434,72.884492,22:40:00,Cloudy,Low ,scooter ,Metropolitian ,170,Shoes,0,5,1866175.0,
udpq945815554,33,5.0,19.254567,72.848923,19.364567,72.958923,23:50:00,Sandstorms,Low ,motorcycle ,Urban ,120,Jewelry,0,3,1838875.0,
qeqp930384577,36,4.9,18.55144,73.804855,18.59144,73.844855,15:25:00,Fog,Medium ,scooter ,Metropolitian ,85,Pet Supplies,0,3,1858540.0,
cwvq091479872,21,4.8,25.449659,81.839744,25.469659,81.859744,10:20:00,Sandstorms,Low ,van,Metropolitian ,70,Shoes,0,1,1901430.0,
ivtf765857546,39,4.9,30.372202,78.077151,30.422202,78.127151,20:55:00,Stormy,Jam ,motorcycle ,Metropolitian ,150,Skincare,0,1,1902060.0,
emlt327861941,23,4.8,0.0,0.0,0.02,0.02,10:40:00,Stormy,Low ,scooter ,Metropolitian ,15,Grocery,0,0,1872650.0,
rufz727804632,35,4.8,0.0,0.0,0.04,0.04,15:55:00,Fog,Medium ,scooter ,Urban ,80,Apparel,0,0,1842725.0,
gkrb550339468,39,4.6,12.972793,80.249982,13.062793,80.339982,20:10:00,Cloudy,Jam ,scooter ,Metropolitian ,180,Home,0,2,1860255.0,
tsec016509855,22,4.7,21.157735,72.768778,21.197735,72.808778,12:10:00,Sunny,High ,scooter ,Urban ,90,Sports,0,3,1858335.0,
xczs106918282,32,4.6,21.186438,72.794115,21.226438,72.834115,15:30:00,Fog,Medium ,scooter ,Metropolitian ,85,Outdoors,0,1,1861425.0,
lgee738117860,24,4.8,0.0,0.0,0.08,0.08,22:10:00,Sandstorms,Low ,motorcycle ,Urban ,75,Apparel,0,4,1847415.0,
nxfs257449148,29,4.7,0.0,0.0,0.02,0.02,10:35:00,Fog,Low ,motorcycle ,Metropolitian ,85,Books,0,2,1869765.0,
wycd588946822,26,4.7,17.431477,78.40035,17.491477,78.46035,23:50:00,Fog,Low ,motorcycle ,Metropolitian ,50,Shoes,0,5,1874885.0,
bhdi726355812,20,4.5,0.0,0.0,0.05,0.05,21:10:00,Fog,Jam ,motorcycle ,Metropolitian ,135,Sports,0,4,1907845.0,
wnbv620439671,35,4.1,13.064181,80.236442,13.154181,80.326442,20:25:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,185,Pet Supplies,0,5,1866040.0,
jvco758418006,39,4.6,12.933298,77.614293,13.023298,77.704293,20:50:00,Fog,Jam ,scooter ,Metropolitian ,220,Electronics,0,1,1841580.0,
zkks967394571,34,4.7,22.311358,73.164798,22.351358,73.204798,12:35:00,Windy,High ,van,Metropolitian ,140,Snacks,0,5,1855485.0,
oiyh656906407,27,4.7,12.934365,77.616155,13.044365,77.726155,21:00:00,Cloudy,Jam ,scooter ,Metropolitian ,210,Apparel,0,3,1868955.0,
dfit633531471,30,4.8,0.0,0.0,0.11,0.11,23:40:00,Windy,Low ,motorcycle ,Metropolitian ,125,Sports,0,2,1900795.0,
qhxw976953297,25,4.4,13.086438,80.220672,13.196438,80.330672,18:15:00,Cloudy,Medium ,scooter ,Metropolitian ,195,Jewelry,0,6,1844300.0,
mryb985330207,25,4.7,19.254567,72.848923,19.364567,72.958923,18:20:00,Stormy,Medium ,motorcycle ,Urban ,100,Electronics,0,6,1844305.0,
jzam829230168,30,5.0,26.913483,75.803139,26.933483,75.823139,11:45:00,Stormy,High ,motorcycle ,Metropolitian ,155,Kitchen,0,3,1848230.0,
xnod694467359,24,4.6,17.411028,78.329645,17.471028,78.389645,20:45:00,Stormy,Jam ,motorcycle ,Metropolitian ,65,Home,0,2,1870375.0,
hcno407153953,39,4.8,18.516216,73.842527,18.566216,73.892527,21:55:00,Stormy,Jam ,motorcycle ,Metropolitian ,140,Home,0,3,1879090.0,
gyjc869072111,25,4.8,15.5696,73.742294,15.6096,73.782294,12:45:00,Windy,High ,scooter ,Urban ,95,Snacks,0,1,1901570.0,
wkqq813752515,37,4.6,19.876428,75.364792,19.956428,75.444792,23:30:00,Fog,Low ,motorcycle ,Urban ,210,Kitchen,0,4,1897905.0,
vdfj488526028,24,5.0,12.939496,77.625999,12.949496,77.635999,10:50:00,Fog,Low ,motorcycle ,Metropolitian ,115,Electronics,0,1,1881295.0,
pngq326709686,25,4.2,17.433809,78.386744,17.543809,78.496744,21:25:00,Stormy,Jam ,motorcycle ,Metropolitian ,195,Cosmetics,0,2,1850260.0,
caja224507886,32,4.6,23.374878,85.335739,23.384878,85.345739,10:10:00,Stormy,Low ,motorcycle ,Metropolitian ,125,Outdoors,0,4,1836620.0,
hnme204254454,34,4.7,-27.163303,78.057044,27.233303,78.127044,23:00:00,Sandstorms,Low ,scooter ,Metropolitian ,75,Clothing,0,2,1900745.0,
uehx759760979,38,4.9,22.74806,75.8934,22.76806,75.9134,08:40:00,Cloudy,Low ,scooter ,Urban ,75,Books,0,4,1866775.0,
sdod930462581,36,4.8,26.891191,75.802083,26.981191,75.892083,17:50:00,Sunny,Medium ,van,Metropolitian ,75,Home,0,0,1862995.0,
visy471360404,25,5.0,21.160437,72.774209,21.270437,72.884209,20:25:00,Stormy,Jam ,motorcycle ,Metropolitian ,75,Electronics,0,4,1857400.0,
wddq796276216,29,5.0,12.316967,76.603067,12.366967,76.653067,22:20:00,Sunny,Low ,motorcycle ,Metropolitian ,90,Outdoors,0,4,1837345.0,
pqya338067587,36,4.7,18.927584,72.832585,19.017584,72.922585,23:40:00,Sandstorms,Low ,van,Metropolitian ,145,Clothing,0,0,1833110.0,
last796029882,33,4.7,11.022298,76.998349,11.072298,77.048349,23:25:00,Fog,Low ,motorcycle ,Metropolitian ,100,Snacks,0,4,1867650.0,
mzyt873581742,36,4.4,12.325461,76.632278,12.365461,76.672278,12:40:00,Cloudy,High ,scooter ,Metropolitian ,195,Skincare,0,6,1864135.0,
kbhb286226770,21,4.8,18.530963,73.828972,18.640963,73.938972,23:30:00,Windy,Low ,motorcycle ,Metropolitian ,95,Sports,0,4,1877745.0,
okvp821614347,25,4.8,17.458998,78.500366,17.488998,78.530366,23:55:00,Cloudy,Low ,scooter ,Urban ,19,Grocery,0,5,1844650.0,
oska955853002,23,4.8,19.1813,72.836191,19.3113,72.966191,22:50:00,Windy,Low ,motorcycle ,Metropolitian ,85,Electronics,0,2,1860420.0,
rgwl479077727,25,4.6,11.022477,76.995667,11.032477,77.005667,10:25:00,Stormy,Low ,motorcycle ,Urban ,75,Books,0,1,1881280.0,
tmzv371880726,24,4.3,22.727021,75.884167,22.747021,75.904167,08:45:00,Sandstorms,Low ,motorcycle ,Urban ,95,Apparel,0,1,1861020.0,
ofxt601212694,27,4.6,12.979166,77.640709,13.069166,77.730709,21:25:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,Apparel,0,4,1877620.0,
lbui872023073,23,4.8,18.994237,72.825553,19.104237,72.935553,22:35:00,Cloudy,Low ,scooter ,Urban ,110,Jewelry,0,4,1857520.0,
ixfk439251990,21,4.3,12.284747,76.625861,12.414747,76.755861,20:10:00,Fog,Jam ,scooter ,Metropolitian ,210,Books,0,2,1850180.0,
njfz936670348,27,4.7,21.175975,72.795503,21.195975,72.815503,10:55:00,Sandstorms,Low ,scooter ,Urban ,60,Sports,0,1,1861150.0,
drir663128253,32,4.2,11.000762,76.981876,11.130762,77.111876,20:35:00,Cloudy,Jam ,motorcycle ,Metropolitian ,190,Skincare,0,1,1871805.0,
drdr957134932,25,4.6,21.173343,72.792731,21.283343,72.902731,23:20:00,Sunny,Low ,motorcycle ,Metropolitian ,115,Outdoors,0,3,1869095.0,
qrzj427928057,39,4.7,26.479108,80.315042,26.499108,80.335042,10:35:00,Cloudy,Low ,scooter ,Metropolitian ,75,Books,0,4,1907210.0,
hkit681446136,27,4.6,21.175104,72.804342,21.255104,72.884342,23:45:00,Sunny,Low ,motorcycle ,Metropolitian ,120,Shoes,0,0,1863350.0,
imnm972342448,39,3.8,19.176269,72.836721,19.286269,72.946721,19:55:00,Windy,Jam ,motorcycle ,Metropolitian ,185,Books,0,2,1860240.0,
wnne890905509,31,4.8,12.975377,77.696664,13.025377,77.746664,22:15:00,Sandstorms,Low ,scooter ,Metropolitian ,120,Sports,0,1,1881985.0,
kbdc711046313,31,4.8,23.359194,85.325447,23.419194,85.385447,23:10:00,Sunny,Low ,van,Metropolitian ,65,Kitchen,0,1,1882035.0,
alem833315854,20,4.8,12.297954,76.665169,12.307954,76.675169,09:15:00,Cloudy,Low ,motorcycle ,Other,80,Sports,0,2,1839450.0,
khjm619520065,36,4.9,23.359407,85.325055,23.439407,85.405055,18:25:00,Cloudy,Medium ,motorcycle ,Urban ,210,Cosmetics,0,2,1880315.0,
oiay843077855,20,4.9,23.416792,85.316842,23.506792,85.406842,22:10:00,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Toys,0,6,1854620.0,
ohhc448549441,24,4.6,26.892312,75.806896,26.922313,75.836896,20:50:00,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Jewelry,0,6,1834385.0,
knul324217390,39,4.2,22.761593,75.886362,22.871593,75.996362,18:45:00,Fog,Medium ,scooter ,Metropolitian ,195,Clothing,0,1,1841450.0,
buux572471968,37,4.8,11.026117,76.944652,11.066117,76.984652,14:55:00,Sunny,High ,scooter ,Metropolitian ,90,Shoes,0,3,1858505.0,
ieue797662723,32,4.9,13.064181,80.236442,13.104181,80.276442,16:50:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,140,Books,0,3,1858620.0,
eztk468187811,22,4.5,26.483042,80.317833,26.533042,80.367833,22:20:00,Sandstorms,Low ,scooter ,Metropolitian ,90,Skincare,0,1,1902155.0,
zzid436960558,23,4.9,11.000762,76.981876,11.130762,77.111876,00:00:00,Windy,Low ,scooter ,Metropolitian ,90,Clothing,0,4,1856175.0,
kllk327072475,33,4.7,23.359033,85.325347,23.469033,85.435347,21:10:00,Fog,Jam ,scooter ,Metropolitian ,245,Apparel,0,1,1871840.0,
uurs547552548,23,,22.569358,88.433452,22.599358,88.463452,23:25:00,Sunny,Low ,motorcycle ,Metropolitian ,75,Snacks,0,3,1899335.0,
ubwl989345056,27,4.6,12.914264,77.6784,12.994264,77.7584,23:30:00,Sunny,Low ,motorcycle ,Metropolitian ,105,Pet Supplies,0,3,1838855.0,
iimu721647260,34,4.7,19.121999,72.908493,19.161999,72.948493,14:20:00,Sunny,High ,scooter ,Metropolitian ,115,Toys,0,1,1881515.0,
tfxz025621580,26,5.0,21.157729,72.768726,21.167729,72.778726,10:15:00,Fog,Low ,scooter ,Urban ,55,Sports,0,6,1833745.0,
kgjb145446786,31,4.6,22.311603,73.165012,22.371603,73.225012,21:20:00,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Snacks,0,3,1848815.0,
xrxy085440961,32,4.9,18.536562,73.896485,18.556562,73.916485,08:50:00,Fog,Low ,motorcycle ,Metropolitian ,90,Books,0,0,1872535.0,
pnzt689957903,27,4.7,22.745536,75.893106,22.765536,75.913106,09:00:00,Cloudy,Low ,motorcycle ,Metropolitian ,70,Shoes,0,2,1869665.0,
qrng205617369,21,4.9,12.933298,77.614293,13.023298,77.704293,17:45:00,Windy,Medium ,motorcycle ,Metropolitian ,180,Pet Supplies,0,5,1865880.0,
gycd207308146,28,4.8,12.939496,77.625999,12.989496,77.675999,23:10:00,Fog,Low ,motorcycle ,Metropolitian ,90,Kitchen,0,3,1848915.0,
wqfy256790455,24,4.9,0.0,0.0,0.04,0.04,16:35:00,Fog,Medium ,scooter ,Urban ,85,Toys,0,2,1839890.0,
vgjr167867003,33,4.4,17.426228,78.407495,17.436228,78.417495,08:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Electronics,0,5,1875400.0,
jqco336937571,20,4.6,12.934365,77.616155,13.024365,77.706155,20:35:00,Fog,Jam ,motorcycle ,Metropolitian ,220,Home,0,4,1857410.0,
iwkp065421476,31,4.3,11.003669,76.976494,11.063669,77.036494,23:25:00,Windy,Low ,motorcycle ,Metropolitian ,100,Toys,0,6,1864780.0,
nwvu459529234,36,5.0,22.311358,73.164798,22.381358,73.234798,19:55:00,Fog,Jam ,motorcycle ,Metropolitian ,175,Shoes,0,3,1838645.0,
jjcl090851660,31,4.2,12.986047,80.218114,13.096047,80.328114,21:20:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,50,Grocery,0,2,1850250.0,
bpbi053158546,39,4.1,17.41233,78.449654,17.47233,78.509654,21:45:00,Stormy,Jam ,scooter ,Metropolitian ,170,Electronics,0,3,1848830.0,
ksec432319879,29,4.6,21.17106,72.789292,21.25106,72.869292,19:40:00,Sunny,Jam ,van,Metropolitian ,85,Outdoors,0,5,1865995.0,
rszv454658332,29,4.6,21.186884,72.793616,21.226884,72.833616,14:50:00,Sandstorms,High ,scooter ,Urban ,115,Apparel,0,3,1878660.0,
cdyc438548517,37,4.9,11.026117,76.944652,11.056117,76.974652,18:10:00,Fog,Medium ,motorcycle ,Metropolitian ,135,Books,0,2,1870220.0,
xoka811702118,33,4.7,0.0,0.0,0.04,0.04,12:20:00,Cloudy,High ,motorcycle ,Urban ,130,Skincare,0,3,1858350.0,
nyum131271823,31,3.9,19.065838,72.832658,19.135838,72.902658,23:40:00,Cloudy,Low ,scooter ,Metropolitian ,175,Pet Supplies,0,4,1857590.0,
iwoy649851528,37,4.6,0.0,0.0,0.04,0.04,12:50:00,Windy,High ,motorcycle ,Urban ,205,Outdoors,0,5,1855495.0,
lhus187289759,26,4.4,12.98041,77.640489,13.04041,77.700489,23:20:00,Sandstorms,Low ,motorcycle ,Other,115,Toys,0,0,1873410.0,
szbb646301545,24,4.6,11.022477,76.995667,11.132477,77.105667,17:50:00,Stormy,Medium ,motorcycle ,Metropolitian ,150,Clothing,0,4,1877400.0,
bwgn919229310,23,4.8,0.0,0.0,0.02,0.02,10:25:00,Windy,Low ,scooter ,Metropolitian ,95,Pet Supplies,0,6,1833755.0,
pdxn136638766,36,4.9,0.0,0.0,0.01,0.01,09:10:00,Windy,Low ,scooter ,Metropolitian ,135,Electronics,0,4,1866805.0,
zzsx562940707,39,4.8,12.310972,76.659264,12.350972,76.699264,12:30:00,Cloudy,High ,motorcycle ,Metropolitian ,140,Cosmetics,0,4,1836765.0,
gyvm380029078,20,4.7,11.025083,77.015393,11.105083,77.095393,17:10:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,120,Toys,0,6,1854320.0,
umwc109456087,20,5.0,12.316967,76.603067,12.446967,76.733067,19:15:00,Cloudy,Jam ,motorcycle ,Urban ,180,Sports,0,3,1838610.0,
dsbe906886027,29,4.3,22.538731,88.364878,22.598731,88.424878,23:50:00,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Cosmetics,0,6,1905115.0,
xnzb532907287,36,4.8,11.001753,76.986241,11.111753,77.096241,18:45:00,Fog,Medium ,motorcycle ,Urban ,155,Snacks,0,1,1841450.0,
ltrp525870768,36,4.0,22.310237,73.158921,22.400237,73.248921,20:40:00,Sunny,Jam ,motorcycle ,Metropolitian ,220,Skincare,0,2,1860285.0,
rbzk606295253,22,4.8,23.359033,85.325347,23.439033,85.405347,22:10:00,Windy,Low ,scooter ,Metropolitian ,75,Cosmetics,0,0,1863265.0,
ltoi660207512,38,4.4,18.593481,73.785901,18.663481,73.855901,17:20:00,Windy,Medium ,motorcycle ,Metropolitian ,165,Toys,0,3,1838485.0,
pkhq469939766,39,4.9,21.186438,72.794115,21.236438,72.844115,19:55:00,Fog,Jam ,motorcycle ,Metropolitian ,150,Cosmetics,0,3,1858810.0,
jgbc287273591,24,4.9,22.725748,75.898497,22.775748,75.948497,18:15:00,Stormy,Medium ,scooter ,Metropolitian ,110,Outdoors,0,0,1842865.0,
xzzw562394658,30,4.1,0.0,0.0,0.07,0.07,23:50:00,Fog,Low ,motorcycle ,Metropolitian ,215,Sports,0,0,1831680.0,
gjwc226881646,35,4.8,17.450851,78.379347,17.540851,78.469347,17:25:00,Fog,Medium ,motorcycle ,Metropolitian ,240,Jewelry,0,4,1877375.0,
lrbb564302256,33,4.5,13.081878,80.248519,13.171878,80.338519,23:45:00,Stormy,Low ,van,Metropolitian ,95,Shoes,0,4,1876320.0,
fkyd365052251,39,4.7,10.035573,76.336958,10.105573,76.406958,18:30:00,Windy,Medium ,motorcycle ,Urban ,105,Cosmetics,0,0,1903355.0,
wciq107093545,31,4.3,22.308096,73.167753,22.388096,73.247753,21:35:00,Windy,Jam ,motorcycle ,Metropolitian ,220,Outdoors,0,4,1847385.0,
edxx482704762,37,4.5,12.975996,80.221898,12.985996,80.231898,08:40:00,Windy,Low ,scooter ,Metropolitian ,130,Books,0,3,1858135.0,
jxsj508533395,37,4.7,12.3085,76.665808,12.3385,76.695808,22:35:00,Windy,Low ,scooter ,Metropolitian ,26,Grocery,0,4,1837360.0,
xlta607070306,33,5.0,19.178321,72.834715,19.188321,72.844715,11:45:00,Windy,High ,motorcycle ,Metropolitian ,155,Sports,0,5,1855430.0,
lubd358643567,24,4.6,0.0,0.0,0.06,0.06,23:25:00,Stormy,Low ,scooter ,Urban ,19,Grocery,0,0,1873420.0,
ycwb227184501,33,4.5,26.910262,75.783013,26.990262,75.863013,19:10:00,Sunny,Jam ,scooter ,Metropolitian ,90,Kitchen,0,2,1880355.0,
mikp615052003,39,4.7,25.443994,81.860187,25.513994,81.930187,18:45:00,Fog,Medium ,motorcycle ,Metropolitian ,190,Electronics,0,2,1900500.0,
djrw974238657,37,4.6,23.359194,85.325447,23.449194,85.415447,18:15:00,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Outdoors,0,1,1841425.0,
